"Date(UTC)","UnixTimeStamp","Value (Wei)"
"5/10/2021","1620604800","6005160579"
"5/11/2021","1620691200","4377064582"
"5/12/2021","1620777600","5882380678"
"5/13/2021","1620864000","5320855053"
"5/14/2021","1620950400","6650173680"
"5/15/2021","1621036800","7818624885"
"5/16/2021","1621123200","5581460062"
"5/17/2021","1621209600","5329773316"
"5/18/2021","1621296000","5004231758"
"5/19/2021","1621382400","6323749651"
"5/20/2021","1621468800","6820059134"
"5/21/2021","1621555200","7204150516"
"5/22/2021","1621641600","3824485281"
"5/23/2021","1621728000","8702838638"
"5/24/2021","1621814400","5820945408"
"5/25/2021","1621900800","3391032518"
"5/26/2021","1621987200","5335772283"
"5/27/2021","1622073600","4220466041"
"5/28/2021","1622160000","3792443985"
"5/29/2021","1622246400","3154555598"
"5/30/2021","1622332800","3143030236"
"5/31/2021","1622419200","2759953226"
"6/1/2021","1622505600","2335429470"
"6/2/2021","1622592000","2108425817"
"6/3/2021","1622678400","2610901747"
"6/4/2021","1622764800","4277858634"
"6/5/2021","1622851200","5075758451"
"6/6/2021","1622937600","4111846333"
"6/7/2021","1623024000","5592669788"
"6/8/2021","1623110400","6977895340"
"6/9/2021","1623196800","7048373037"
"6/10/2021","1623283200","29705598015"
"6/11/2021","1623369600","6210998915"
"6/12/2021","1623456000","5869474858"
"6/13/2021","1623542400","5710134359"
"6/14/2021","1623628800","7498503762"
"6/15/2021","1623715200","7779304438"
"6/16/2021","1623801600","39118080107"
"6/17/2021","1623888000","29000590665"
"6/18/2021","1623974400","13428779746"
"6/19/2021","1624060800","12395094321"
"6/20/2021","1624147200","16081228518"
"6/21/2021","1624233600","21200751038"
"6/22/2021","1624320000","28414755568"
"6/23/2021","1624406400","20285053235"
"6/24/2021","1624492800","17085297135"
"6/25/2021","1624579200","21077769446"
"6/26/2021","1624665600","16564039430"
"6/27/2021","1624752000","17025164730"
"6/28/2021","1624838400","16851439171"
"6/29/2021","1624924800","17189877381"
"6/30/2021","1625011200","18894828604"
"7/1/2021","1625097600","23894175958"
"7/2/2021","1625184000","23633906944"
"7/3/2021","1625270400","20310872893"
"7/4/2021","1625356800","22216523259"
"7/5/2021","1625443200","18124901070"
"7/6/2021","1625529600","25323282200"
"7/7/2021","1625616000","19374195442"
"7/8/2021","1625702400","30057474596"
"7/9/2021","1625788800","34586426169"
"7/10/2021","1625875200","34890333684"
"7/11/2021","1625961600","34368399758"
"7/12/2021","1626048000","68342474391"
"7/13/2021","1626134400","36211960418"
"7/14/2021","1626220800","40309589084"
"7/15/2021","1626307200","33653197497"
"7/16/2021","1626393600","40764610818"
"7/17/2021","1626480000","34678166124"
"7/18/2021","1626566400","37065239189"
"7/19/2021","1626652800","48897325528"
"7/20/2021","1626739200","74828586949"
"7/21/2021","1626825600","35332156058"
"7/22/2021","1626912000","30304667198"
"7/23/2021","1626998400","32567876489"
"7/24/2021","1627084800","23534743962"
"7/25/2021","1627171200","22351839177"
"7/26/2021","1627257600","56812227341"
"7/27/2021","1627344000","30028725806"
"7/28/2021","1627430400","35864016042"
"7/29/2021","1627516800","28613246001"
"7/30/2021","1627603200","34428940333"
"7/31/2021","1627689600","24648471863"
"8/1/2021","1627776000","32650334881"
"8/2/2021","1627862400","24281592561"
"8/3/2021","1627948800","36797616921"
"8/4/2021","1628035200","28848286212"
"8/5/2021","1628121600","49657463815"
"8/6/2021","1628208000","30981954000"
"8/7/2021","1628294400","44438312275"
"8/8/2021","1628380800","43746398175"
"8/9/2021","1628467200","49246754481"
"8/10/2021","1628553600","63285770067"
"8/11/2021","1628640000","68913327934"
"8/12/2021","1628726400","47347849652"
"8/13/2021","1628812800","54825027815"
"8/14/2021","1628899200","39398820169"
"8/15/2021","1628985600","40734030077"
"8/16/2021","1629072000","33018025001"
"8/17/2021","1629158400","38179686727"
"8/18/2021","1629244800","36264672806"
"8/19/2021","1629331200","30362747300"
"8/20/2021","1629417600","43659877314"
"8/21/2021","1629504000","33111470620"
"8/22/2021","1629590400","33458450676"
"8/23/2021","1629676800","51629472534"
"8/24/2021","1629763200","43627747524"
"8/25/2021","1629849600","57100575576"
"8/26/2021","1629936000","55922727751"
"8/27/2021","1630022400","36207349779"
"8/28/2021","1630108800","32155659624"
"8/29/2021","1630195200","33158554728"
"8/30/2021","1630281600","39129447028"
"8/31/2021","1630368000","34870869127"
"9/1/2021","1630454400","34512310011"
"9/2/2021","1630540800","33160279885"
"9/3/2021","1630627200","31791565707"
"9/4/2021","1630713600","28593401788"
"9/5/2021","1630800000","28574532180"
"9/6/2021","1630886400","28029760714"
"9/7/2021","1630972800","111142945857"
"9/8/2021","1631059200","53011516955"
"9/9/2021","1631145600","38896352380"
"9/10/2021","1631232000","54177173532"
"9/11/2021","1631318400","28010353738"
"9/12/2021","1631404800","43279440407"
"9/13/2021","1631491200","38228191032"
"9/14/2021","1631577600","30972346415"
"9/15/2021","1631664000","37319330101"
"9/16/2021","1631750400","44780804491"
"9/17/2021","1631836800","29364466348"
"9/18/2021","1631923200","35921615250"
"9/19/2021","1632009600","30798564064"
"9/20/2021","1632096000","62767466866"
"9/21/2021","1632182400","83814687060"
"9/22/2021","1632268800","37098814355"
"9/23/2021","1632355200","29913917766"
"9/24/2021","1632441600","44100425543"
"9/25/2021","1632528000","32769150887"
"9/26/2021","1632614400","27569630948"
"9/27/2021","1632700800","25848519287"
"9/28/2021","1632787200","27552463830"
"9/29/2021","1632873600","34935008692"
"9/30/2021","1632960000","43021719490"
"10/1/2021","1633046400","35571926544"
"10/2/2021","1633132800","26625995712"
"10/3/2021","1633219200","24847874628"
"10/4/2021","1633305600","35583074618"
"10/5/2021","1633392000","39756630732"
"10/6/2021","1633478400","74950299128"
"10/7/2021","1633564800","64629870806"
"10/8/2021","1633651200","66889610388"
"10/9/2021","1633737600","56297044259"
"10/10/2021","1633824000","59062622387"
"10/11/2021","1633910400","56193686443"
"10/12/2021","1633996800","61337677033"
"10/13/2021","1634083200","56471629652"
"10/14/2021","1634169600","69168022799"
"10/15/2021","1634256000","120767755419"
"10/16/2021","1634342400","60127403960"
"10/17/2021","1634428800","61260194157"
"10/18/2021","1634515200","152319597999"
"10/19/2021","1634601600","72134993592"
"10/20/2021","1634688000","76088457184"
"10/21/2021","1634774400","72883746380"
"10/22/2021","1634860800","71217728934"
"10/23/2021","1634947200","65813262740"
"10/24/2021","1635033600","61406747468"
"10/25/2021","1635120000","70128953806"
"10/26/2021","1635206400","67919994825"
"10/27/2021","1635292800","87315237596"
"10/28/2021","1635379200","93124083109"
"10/29/2021","1635465600","101742540890"
"10/30/2021","1635552000","66014430792"
"10/31/2021","1635638400","73616174772"
"11/1/2021","1635724800","67293041543"
"11/2/2021","1635811200","67410800317"
"11/3/2021","1635897600","74890454065"
"11/4/2021","1635984000","72470893526"
"11/5/2021","1636070400","66107073383"
"11/6/2021","1636156800","66388017012"
"11/7/2021","1636243200","63024258802"
"11/8/2021","1636329600","66702300797"
"11/9/2021","1636416000","64178748767"
"11/10/2021","1636502400","86563578753"
"11/11/2021","1636588800","97307278666"
"11/12/2021","1636675200","78377000311"
"11/13/2021","1636761600","75199450339"
"11/14/2021","1636848000","79229133395"
"11/15/2021","1636934400","76272218643"
"11/16/2021","1637020800","121343568322"
"11/17/2021","1637107200","93383826784"
"11/18/2021","1637193600","102313849295"
"11/19/2021","1637280000","94814107666"
"11/20/2021","1637366400","76441534029"
"11/21/2021","1637452800","83972179993"
"11/22/2021","1637539200","79730221905"
"11/23/2021","1637625600","86117114918"
"11/24/2021","1637712000","84275502989"
"11/25/2021","1637798400","83205817680"
"11/26/2021","1637884800","136316950747"
"11/27/2021","1637971200","94166338593"
"11/28/2021","1638057600","95922713289"
"11/29/2021","1638144000","86646156702"
"11/30/2021","1638230400","126803047552"
"12/1/2021","1638316800","113296531023"
"12/2/2021","1638403200","116876560737"
"12/3/2021","1638489600","129761598741"
"12/4/2021","1638576000","226364756483"
"12/5/2021","1638662400","100733500783"
"12/6/2021","1638748800","106047750533"
"12/7/2021","1638835200","104419327311"
"12/8/2021","1638921600","127254289084"
"12/9/2021","1639008000","112984986184"
"12/10/2021","1639094400","109307875634"
"12/11/2021","1639180800","80825452496"
"12/12/2021","1639267200","76824345467"
"12/13/2021","1639353600","138262359164"
"12/14/2021","1639440000","84307380465"
"12/15/2021","1639526400","129329859020"
"12/16/2021","1639612800","128255929775"
"12/17/2021","1639699200","90274491297"
"12/18/2021","1639785600","80569654217"
"12/19/2021","1639872000","181124625203"
"12/20/2021","1639958400","76541489893"
"12/21/2021","1640044800","73077563619"
"12/22/2021","1640131200","82395426805"
"12/23/2021","1640217600","79244491739"
"12/24/2021","1640304000","113840649053"
"12/25/2021","1640390400","76798573633"
"12/26/2021","1640476800","74371316150"
"12/27/2021","1640563200","72329575393"
"12/28/2021","1640649600","102352974838"
"12/29/2021","1640736000","100015445523"
"12/30/2021","1640822400","93352610078"
"12/31/2021","1640908800","115033571145"
"1/1/2022","1640995200","113939610962"
"1/2/2022","1641081600","81516054831"
"1/3/2022","1641168000","139054867396"
"1/4/2022","1641254400","410456652073"
"1/5/2022","1641340800","763631545267"
"1/6/2022","1641427200","593419464758"
"1/7/2022","1641513600","493172148493"
"1/8/2022","1641600000","207044981897"
"1/9/2022","1641686400","100379730717"
"1/10/2022","1641772800","153500688359"
"1/11/2022","1641859200","83030801020"
"1/12/2022","1641945600","88942316641"
"1/13/2022","1642032000","97246300068"
"1/14/2022","1642118400","103342646964"
"1/15/2022","1642204800","94716746463"
"1/16/2022","1642291200","106160874455"
"1/17/2022","1642377600","147674251967"
"1/18/2022","1642464000","255976729299"
"1/19/2022","1642550400","347583891335"
"1/20/2022","1642636800","278687087856"
"1/21/2022","1642723200","762625841824"
"1/22/2022","1642809600","633517319924"
"1/23/2022","1642896000","131533702904"
"1/24/2022","1642982400","436514187692"
"1/25/2022","1643068800","127197506134"
"1/26/2022","1643155200","185653905581"
"1/27/2022","1643241600","73839101982"
"1/28/2022","1643328000","63663249490"
"1/29/2022","1643414400","48377874112"
"1/30/2022","1643500800","44640421381"
"1/31/2022","1643587200","55330790413"
"2/1/2022","1643673600","63349754852"
"2/2/2022","1643760000","160774355716"
"2/3/2022","1643846400","60937780973"
"2/4/2022","1643932800","83483264974"
"2/5/2022","1644019200","54385398724"
"2/6/2022","1644105600","58696711511"
"2/7/2022","1644192000","73874809882"
"2/8/2022","1644278400","96548289136"
"2/9/2022","1644364800","67136688703"
"2/10/2022","1644451200","89642251351"
"2/11/2022","1644537600","83410090791"
"2/12/2022","1644624000","95510352988"
"2/13/2022","1644710400","73798917487"
"2/14/2022","1644796800","172674589222"
"2/15/2022","1644883200","67352069253"
"2/16/2022","1644969600","91073772008"
"2/17/2022","1645056000","90164720420"
"2/18/2022","1645142400","97994154605"
"2/19/2022","1645228800","72840561129"
"2/20/2022","1645315200","80224417878"
"2/21/2022","1645401600","89688209131"
"2/22/2022","1645488000","117946469545"
"2/23/2022","1645574400","74250371726"
"2/24/2022","1645660800","179849008659"
"2/25/2022","1645747200","108127262532"
"2/26/2022","1645833600","85862067377"
"2/27/2022","1645920000","91897027405"
"2/28/2022","1646006400","89015147445"
"3/1/2022","1646092800","87943513130"
"3/2/2022","1646179200","91424020825"
"3/3/2022","1646265600","87826557230"
"3/4/2022","1646352000","84033898336"
"3/5/2022","1646438400","83730878518"
"3/6/2022","1646524800","86982125901"
"3/7/2022","1646611200","93247091467"
"3/8/2022","1646697600","92047464366"
"3/9/2022","1646784000","82485302496"
